OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,18.7,99.2,78.9,78.0,84.4,94.2,32.0,45.8,101.3,100.7,30.6,25.8,24.95,162.6,85.5,34.3,19.0,76.6,88.0,36.2,37.3,32.4,35.0,33.2,26.2,22.2,14.9,57.4,13.0,27.6,70.4,145.8,49.8,34.2,139.5,140.0,87.1,96.6,122.0,67.8,27.1,73.9,105.1,4.0,70.0,33.2,42.3,37.3,95.5,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0000.txt
cm,19.6,89.5,71.7,70.6,83.7,99.3,27.5,40.4,90.8,90.4,29.9,21.0,23.83,159.0,77.1,35.2,17.8,81.5,99.5,36.8,39.4,34.4,37.2,37.8,29.9,23.3,14.3,54.7,12.4,26.0,67.2,136.5,57.5,37.8,129.9,131.1,86.0,86.3,117.1,65.9,26.4,77.7,97.0,3.5,63.3,32.8,40.5,38.4,101.5,72.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0001.txt
cm,18.3,106.5,81.3,80.2,95.3,107.9,30.5,45.4,108.6,108.3,38.6,31.2,27.47,169.6,90.2,38.0,20.7,87.1,105.6,35.3,41.9,34.2,38.6,38.1,33.2,28.0,17.5,57.7,12.4,30.9,70.0,150.0,61.7,36.0,143.5,141.5,102.1,103.8,123.2,69.8,27.9,91.3,108.1,4.5,72.5,34.4,43.7,43.6,110.0,80.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0002.txt
cm,20.1,99.1,77.4,76.0,81.5,89.3,30.0,43.8,101.0,100.3,33.2,26.2,22.27,163.5,84.5,36.4,19.8,72.9,88.1,35.5,38.7,31.6,34.3,32.1,27.8,22.0,16.4,61.0,11.4,24.8,72.4,145.6,48.4,34.1,140.1,140.1,85.7,96.7,123.1,69.5,27.8,75.6,103.8,4.0,68.0,34.2,41.4,36.4,92.2,77.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0003.txt
cm,13.0,92.3,72.6,71.5,97.2,100.3,28.5,41.4,94.0,93.9,31.7,26.4,22.55,153.0,77.5,38.4,17.6,82.6,96.7,32.6,42.6,37.5,36.4,35.0,31.5,24.2,15.2,52.0,13.8,30.9,65.8,134.5,57.7,38.6,128.0,129.5,96.8,89.5,107.5,63.0,25.2,87.1,96.7,3.5,63.7,36.5,39.3,40.7,102.6,71.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0004.txt
cm,16.5,114.7,91.0,90.1,85.7,97.7,36.0,52.2,116.2,115.9,34.4,28.3,26.87,177.1,97.6,37.3,22.3,78.5,96.2,34.1,33.1,33.4,37.7,35.0,29.3,23.6,15.9,65.4,10.2,30.5,75.6,161.8,53.2,29.3,154.8,156.3,91.5,111.7,136.1,71.8,28.7,77.0,118.8,5.0,81.6,29.1,40.7,39.0,98.5,90.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0005.txt
cm,20.1,95.6,72.8,71.3,87.0,98.2,29.0,41.7,97.8,97.4,34.3,29.2,30.93,155.4,79.8,36.1,20.7,86.9,101.6,35.0,35.6,34.0,36.3,33.8,31.9,23.6,14.9,54.5,10.9,26.6,65.4,135.8,57.8,32.3,131.8,130.8,93.1,92.8,114.8,64.5,25.8,84.3,97.1,4.0,64.5,31.2,40.2,38.7,98.6,72.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0006.txt
cm,7.9,85.6,67.3,65.8,100.1,100.9,24.0,36.5,87.3,87.3,30.4,24.9,25.79,151.7,75.3,36.7,20.9,86.8,96.9,34.0,40.9,34.5,38.3,38.6,32.7,26.6,17.7,51.0,13.2,31.0,64.2,132.3,58.8,37.2,126.1,126.8,103.0,82.2,104.8,66.5,26.6,94.6,92.4,3.0,57.7,36.2,44.1,41.3,103.8,65.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0007.txt
cm,18.4,99.4,78.1,77.0,84.1,96.1,31.0,44.8,101.2,100.7,31.8,26.2,25.28,160.8,83.5,38.6,14.2,78.3,87.1,35.4,40.6,34.2,38.0,35.3,29.2,25.0,14.9,56.5,12.8,26.4,69.4,143.7,54.4,35.1,138.0,137.0,88.8,96.9,121.0,66.8,26.7,75.5,103.7,4.0,69.0,34.6,41.2,38.7,99.6,77.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0008.txt
cm,18.2,103.1,82.0,80.8,88.2,97.6,33.5,47.7,105.1,104.8,33.6,26.7,25.86,165.5,87.3,35.4,18.3,79.6,93.5,36.6,41.5,33.3,39.7,36.3,27.7,24.6,16.1,57.9,13.0,28.4,70.9,149.8,57.8,36.0,142.8,143.5,91.0,100.4,125.8,69.0,27.6,79.8,108.4,4.5,72.0,35.0,42.1,39.1,100.9,80.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0009.txt
