OPTION UNITS,MEASURE HIP_Circ,MEASURE Seat_Back_Angle,MEASURE Calf_Left,MEASURE Calf_Right,MEASURE Across_Back,MEASURE NeckBase_Circ,MEASURE CHEST_Circ,MEASURE Neck_Circ,MEASURE TrouserWaist_Height_Back,MEASURE TrouserWAIST_Circ,MEASURE MaxWAIST_Circ,MEASURE Shoulder_to_Shoulder,MEASURE Across_Front,MEASURE CrotchLength_Front,MEASURE CrotchLength_Back,MEASURE Thigh_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Outseam,MEASURE Inseam,MEASURE Knee_Height,MEASURE Shoulder_Length,MEASURE Shoulder_to_Wrist,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_Slope_Left,MEASURE Shoulder_Slope_Right,MEASURE Joints,MEASURE Landmarks,MEASURE CROTCH_Height,MEASURE Head_Top_Height,MEASURE NECK_Height,MEASURE MaxWaist_Height,MEASURE TrouserWaist_Height_Front,MEASURE Ankle_Girth_Left,MEASURE Ankle_Girth_Right,MEASURE Calf_Height,MEASURE Ankle_Height,MEASURE Ankle_Circ,MEASURE Thigh_Height,MEASURE Shoulder_Width_thruTheBody,MEASURE Hip_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,filename
cm,104.0,10.1,40.4,40.5,40.7,44.1,106.9,39.4,107.2,97.7,99.6,46.6,41.7,26.4,33.5,56.3,41.3,40.5,103.7,80.4,28.0,13.8,64.5,33.3,28.9,17.5,5.1,5.1,18.0,27.0,79.8,177.9,159.5,110.8,106.9,28.5,28.2,44.0,71.9,28.3,4.0,40.3,40.5,50.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0000.txt
cm,110.9,19.1,41.9,40.1,41.1,40.9,108.0,38.4,107.1,102.2,104.6,46.5,41.6,28.0,37.8,64.0,42.7,41.0,102.0,79.6,27.5,14.1,58.7,32.6,27.4,17.5,5.6,6.6,18.0,27.0,78.7,173.9,154.2,103.7,106.9,28.8,27.9,41.5,70.7,28.4,4.0,38.7,40.5,47.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0001.txt
cm,105.1,3.5,42.1,40.3,42.0,45.9,116.2,43.4,96.6,106.1,114.0,49.3,46.3,24.0,32.3,56.9,41.7,41.2,93.6,75.1,26.0,16.2,58.0,33.7,29.0,19.1,6.0,5.7,18.0,27.0,74.1,164.1,144.8,102.1,94.6,29.1,32.0,40.5,66.2,30.6,3.5,42.8,39.0,52.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0002.txt
cm,100.8,25.8,38.8,40.2,40.6,41.1,101.2,37.5,101.2,90.9,92.8,39.4,32.7,25.1,33.8,63.1,39.5,39.5,98.1,78.3,29.0,10.9,63.8,37.3,27.8,17.5,5.8,8.1,18.0,27.0,77.3,173.3,151.0,103.3,99.2,25.5,26.3,41.0,68.4,25.9,3.5,32.6,39.8,42.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0003.txt
cm,103.8,22.8,38.8,37.7,40.1,42.1,104.9,38.4,106.3,90.7,88.1,47.3,41.0,27.5,36.7,59.0,39.5,38.3,103.1,81.7,31.0,15.4,63.1,36.7,28.7,17.5,6.7,8.1,18.0,27.0,80.4,166.9,153.9,111.4,104.3,26.8,26.5,44.5,71.0,26.6,4.0,39.3,39.2,47.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0004.txt
cm,110.6,22.5,39.2,42.8,43.7,45.6,116.3,43.7,105.6,99.5,104.7,51.8,45.9,29.0,37.1,63.0,42.5,41.0,102.6,79.2,27.0,17.2,59.7,37.3,30.8,19.3,5.5,5.9,18.0,27.0,78.2,174.5,158.4,105.7,103.6,29.0,28.7,41.5,68.2,28.8,4.0,43.8,40.9,53.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0005.txt
cm,107.9,23.9,39.6,39.6,43.6,46.9,110.8,43.3,123.5,92.5,86.8,49.5,41.6,30.0,40.0,63.8,41.1,39.6,120.4,95.5,37.0,13.7,70.4,38.5,28.8,18.0,3.3, *** Error ***,18.0,27.0,94.3,190.7,174.6,133.8,121.5,28.6,30.5,53.0,84.7,29.5,5.0,40.8,40.7,50.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0006.txt
cm,108.4,20.7,39.5,38.5,39.8,43.5,117.0,40.7,106.1,93.3,92.2,48.2,46.9,28.5,34.0,65.0,40.3,39.0,103.2,81.9,30.5,16.4,60.1,40.8,29.2,17.5,5.7,4.9,18.0,27.0,80.8,176.6,158.6,112.3,104.1,27.4,49.0,43.5,73.6,38.2,4.0,42.6,40.5,50.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0007.txt
cm,88.4,19.1,35.0,34.7,36.9,39.2,84.1,36.0,109.7,77.3,71.4,37.6,30.5,26.4,33.1,49.9,36.0,34.8,106.6,84.4,33.0,10.7,63.7,26.6,23.1,15.8,5.5,5.2,18.0,27.0,84.0,169.5,153.2,117.5,109.5,26.2,26.1,48.0,74.6,26.1,4.0,32.0,35.2,41.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0008.txt
cm,97.4,12.2,35.2,35.4,41.0,43.3,98.5,39.6,100.1,89.9,89.9,44.6,36.8,24.9,33.8,52.6,35.8,35.3,97.3,76.8,25.5,13.7,60.4,29.9,25.6,16.7,6.5,6.1,18.0,27.0,76.0,167.1,148.7,103.5,98.1,26.8,25.9,42.5,67.2,26.4,4.0,37.4,37.3,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0009.txt
